t_rel_s,d2
16.7488,34
16.7563,34
16.7741,34
16.8044,34
16.8147,34
16.8441,36
16.8546,37
16.8845,39
16.9045,40
16.9289,42
16.9346,42
16.9542,42
16.9846,42
16.9941,43
17.0290,43
17.0347,45
17.0640,45
17.0844,45
17.1087,46
17.1244,48
17.1343,49
17.1641,49
17.1746,51
17.2060,51
17.2145,52
17.2442,52
17.2560,52
17.2747,54
17.3042,57
17.3142,57
17.3441,57
17.3547,57
17.3845,57
17.3943,59
17.4290,60
17.4347,60
17.4687,60
17.4845,62
17.4942,63
17.5242,65
17.5341,65
17.5641,66
17.5847,68
17.6058,68
17.6243,69
17.6488,69
17.6642,71
17.6741,71
17.7043,71
17.7146,73
17.7442,74
17.7545,74
17.7844,76
17.8044,76
17.8143,77
17.8345,79
17.8542,80
17.8845,82
17.8947,83
17.9290,83
17.9345,85
17.9688,85
17.9843,85
18.0089,85
18.0243,85
18.0342,86
18.0640,88
18.0745,88
18.0957,89
18.1290,91
18.1345,93
18.1542,94
18.1843,94
18.1941,94
18.2291,94
18.2346,94
18.2640,94
18.2844,96
18.3089,96
18.3242,99
18.3487,100
18.3641,102
18.3746,103
18.4042,103
18.4145,105
18.4441,105
18.4565,105
18.4719,105
18.5042,105
18.5142,105
18.5442,105
18.5541,105
18.5844,108
18.5946,110
18.6289,113
18.6344,114
18.6688,116
18.6844,117
18.6943,117
18.7242,117
18.7342,117
18.7641,119
18.7744,120
18.8058,123
18.8242,125
18.8489,127
18.8563,128
18.8741,128
18.9043,130
18.9146,131
18.9439,131
18.9545,133
18.9844,133
19.0044,134
19.0290,136
19.0344,137
19.0542,139
19.0842,140
19.0941,142
19.1291,143
19.1345,145
19.1639,145
19.1843,147
19.2089,147
19.2243,150
19.2320,151
19.2640,153
19.2748,154
19.3060,156
19.3144,157
19.3440,159
19.3565,159
19.3741,159
19.4042,160
19.4142,162
19.4441,164
19.4545,167
19.4843,168
19.4945,171
19.5294,171
19.5343,174
19.5688,176
19.5844,176
19.5943,177
19.6241,179
19.6341,180
19.6640,182
19.6843,184
19.7058,185
19.7242,188
19.7489,191
19.7641,193
19.7741,194
19.8042,196
19.8145,197
19.8438,197
19.8543,201
19.8843,202
19.9042,204
19.9143,205
19.9344,208
19.9542,210
19.9844,210
19.9941,211
20.0291,211
20.0344,211
20.0690,213
20.0841,216
20.1037,219
20.1141,221
20.1439,224
20.1544,224
20.1844,224
20.1943,224
20.2291,225
20.2344,227
20.2543,228
20.2842,230
20.2941,231
20.3292,233
20.3345,234
20.3639,236
20.3843,236
20.4090,238
20.4240,239
20.4489,241
20.4640,242
20.4745,242
20.5040,245
20.5144,247
20.5440,248
20.5565,250
20.5842,251
20.6041,253
20.6142,254
20.6440,254
20.6541,254
20.6842,254
20.6944,254
20.7290,254
20.7343,254
20.7689,254
20.7843,254
20.7943,254
20.8241,254
20.8342,254
20.8640,254
20.8743,254
20.9059,254
20.9242,254
20.9490,254
20.9563,254
20.9741,254
21.0042,254
21.0145,254
21.0438,254
21.0544,254
21.0842,254
21.1042,254
21.1291,254
21.1344,254
21.1542,254
21.1841,254
21.1941,254
21.2292,254
21.2344,254
21.2638,254
21.2842,254
21.3090,254
21.3242,254
21.3489,254
21.3640,254
21.3745,254
21.4060,254
21.4143,254
21.4439,254
21.4565,254
21.4743,254
21.5041,254
21.5142,254
21.5439,254
21.5545,254
21.5842,254
21.5944,254
21.6293,254
21.6343,254
21.6689,254
21.6842,254
21.6942,254
21.7240,254
21.7341,254
21.7639,254
21.7843,254
21.8058,254
21.8241,254
21.8490,254
21.8640,254
21.8741,254
21.9041,254
21.9144,254
21.9438,254
21.9543,254
21.9842,254
22.0041,254
22.0143,254
22.0342,254
